Bodenrichtwertnummer,Ortsteil,Bodenrichtwert,Stichtag des Bodenrichtwerts,Entwicklungszustand,Art der Nutzung,Ergänzung zur Art der Nutzung,Wertrelevante Geschossflächenzahl,Bemerkungen,Bodenrichtwertzonenname,Koordinaten (formatiert),X-Koordinate,Y-Koordinate,Höhe (Z-Koordinate),EPSG-Code
9101140,Heilbronn,510,01.01.23,B,MI,,1.50,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Westl.Feyerabendstraße bis Kreuzenstraße,"516.242,720 / 5.444.449,500 (EPSG: 25832)",516242720,5444449500,,25832
9101440,Heilbronn,1040,01.01.23,B,WA,,0.70,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 650 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²","Nordberg, Karl-Reibel-Ring","516.802,146 / 5.444.780,962 (EPSG: 25832)",516802146,5444780962,,25832
9101133,Heilbronn,680,01.01.23,B,MI,,1.50,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 500 m², Doppelhaushälften: 300 m², Reihenmittelhäuser: 200 m²",Schaeuffelenstraße,"515.941,898 / 5.443.835,271 (EPSG: 25832)",515941898,5443835271,,25832
9101500,Heilbronn,175,01.01.23,B,W,ASB,,,Wohnen außen,"517.002,146 / 5.445.600,962 (EPSG: 25832)",517002146,5445600962,,25832
9101430,Heilbronn,310,01.01.23,B,MI,,1.00,"Grundstücksgröße: freistehende Ein- bis Dreifamilienhäuser: 400 m², Doppelhaushälften: 200 m², Reihenmittelhäuser: 200 m²",Christophstraße/ Goppeltstraße/ Industri,"516.066,313 / 5.444.734,074 (EPSG: 25832)",516066313,5444734074,,25832
9101940,Heilbronn,170,01.01.23,B,GE,,,Gewerbegebiet,Westlich der Neckarsulmer Straße bis Kre,"516.376,322 / 5.445.140,862 (EPSG: 25832)",516376322,5445140862,,25832
9101920,Heilbronn,175,01.01.23,B,GI,,,Industriegebiet,"Industriegebiet Neckar, bis Hans-Seyfer-","515.748,862 / 5.444.898,093 (EPSG: 25832)",515748862,5444898093,,25832
9101990,Heilbronn,60,01.01.23,B,G,ASB,,,Gewerbe außen,"517.002,146 / 5.445.520,962 (EPSG: 25832)",517002146,5445520962,,25832
9101078,Heilbronn,13,01.01.23,SF,FGA,,,,"FGA  verkehrsbelastet, Neckarsulmer Str.","516.493,675 / 5.445.783,141 (EPSG: 25832)",516493675,5445783141,,25832
9101033,Heilbronn,3.6,01.01.23,SF,PG,,,Grünland mit Bäumen (Streuobst),Private Grünfläche,"516.702,146 / 5.446.020,962 (EPSG: 25832)",516702146,5446020962,,25832
9101082,Heilbronn,26,01.01.23,SF,FGA,,,,"FGA gr. Stiftsberg, kl. Stiftsber","516.902,146 / 5.445.940,962 (EPSG: 25832)",516902146,5445940962,,25832
9101023,Heilbronn,1.8,01.01.23,LF,GR,,,"Grünland, Wiese",Wiese,"516.652,146 / 5.446.120,962 (EPSG: 25832)",516652146,5446120962,,25832
9101058,Heilbronn,9.5,01.01.23,LF,WG,,,ohne Steilhanglagen,"Weinberg NW,NO","516.902,146 / 5.446.100,962 (EPSG: 25832)",516902146,5446100962,,25832
9101085,Heilbronn,13,01.01.23,SF,KGA,,,,"KGA, Am Sandweg","516.251,931 / 5.445.465,043 (EPSG: 25832)",516251931,5445465043,,25832
